antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'mood swings', 'irritability'})",frozenset({'abnormal menstruation'}),0.046341463414634146,0.04878048780487805,0.046341463414634146,1.0,20.5,1.0,0.04408090422367638,inf,0.9974424552429668,0.95,1.0,0.975
"frozenset({'irritability', 'abnormal menstruation'})","frozenset({'fatigue', 'mood swings'})",0.04878048780487805,0.042682926829268296,0.042682926829268296,0.875,20.5,1.0,0.04060083283759667,7.658536585365853,1.0,0.8750000000000001,0.8694267515923567,0.9375
"frozenset({'irritability', 'abnormal menstruation'})",frozenset({'mood swings'}),0.04878048780487805,0.046341463414634146,0.046341463414634146,0.95,20.5,1.0,0.04408090422367638,19.0731707317073,1.0,0.95,0.9475703324808183,0.975
frozenset({'mood swings'}),"frozenset({'irritability', 'abnormal menstruation'})",0.046341463414634146,0.04878048780487805,0.046341463414634146,1.0,20.5,1.0,0.04408090422367638,inf,0.9974424552429668,0.95,1.0,0.975
frozenset({'abnormal menstruation'}),"frozenset({'mood swings', 'irritability'})",0.04878048780487805,0.046341463414634146,0.046341463414634146,0.95,20.5,1.0,0.04408090422367638,19.0731707317073,1.0,0.95,0.9475703324808183,0.975
"frozenset({'fatigue', 'mood swings'})",frozenset({'abnormal menstruation'}),0.042682926829268296,0.04878048780487805,0.042682926829268296,1.0,20.5,1.0,0.04060083283759667,inf,0.9936305732484076,0.8750000000000001,1.0,0.9375
frozenset({'abnormal menstruation'}),frozenset({'mood swings'}),0.04878048780487805,0.046341463414634146,0.046341463414634146,0.95,20.5,1.0,0.04408090422367638,19.0731707317073,1.0,0.95,0.9475703324808183,0.975
frozenset({'mood swings'}),frozenset({'abnormal menstruation'}),0.046341463414634146,0.04878048780487805,0.046341463414634146,1.0,20.5,1.0,0.04408090422367638,inf,0.9974424552429668,0.95,1.0,0.975
"frozenset({'mood swings', 'fatigue', 'irritability'})",frozenset({'abnormal menstruation'}),0.042682926829268296,0.04878048780487805,0.042682926829268296,1.0,20.5,1.0,0.04060083283759667,inf,0.9936305732484076,0.8750000000000001,1.0,0.9375
frozenset({'abnormal menstruation'}),"frozenset({'mood swings', 'fatigue', 'irritability'})",0.04878048780487805,0.042682926829268296,0.042682926829268296,0.875,20.5,1.0,0.04060083283759667,7.658536585365853,1.0,0.8750000000000001,0.8694267515923567,0.9375
frozenset({'abnormal menstruation'}),"frozenset({'fatigue', 'mood swings'})",0.04878048780487805,0.042682926829268296,0.042682926829268296,0.875,20.5,1.0,0.04060083283759667,7.658536585365853,1.0,0.8750000000000001,0.8694267515923567,0.9375
"frozenset({'fatigue', 'mood swings'})","frozenset({'irritability', 'abnormal menstruation'})",0.042682926829268296,0.04878048780487805,0.042682926829268296,1.0,20.5,1.0,0.04060083283759667,inf,0.9936305732484076,0.8750000000000001,1.0,0.9375
"frozenset({'loss of appetite', 'swelled lymph nodes'})","frozenset({'mild fever', 'malaise'})",0.046341463414634146,0.0475609756097561,0.045121951219512194,0.9736842105263158,20.472334682861,1.0,0.04291790600832837,36.192682926829306,0.9973733324116956,0.9249999999999999,0.9723701058022778,0.9612010796221322
"frozenset({'loss of appetite', 'headache'})",frozenset({'red spots over body'}),0.046341463414634146,0.0475609756097561,0.045121951219512194,0.9736842105263158,20.472334682861,1.0,0.04291790600832837,36.192682926829306,0.9973733324116956,0.9249999999999999,0.9723701058022778,0.9612010796221322
"frozenset({'mild fever', 'malaise'})","frozenset({'loss of appetite', 'swelled lymph nodes'})",0.0475609756097561,0.046341463414634146,0.045121951219512194,0.9487179487179487,20.472334682860996,1.0,0.04291790600832837,18.596341463414618,0.9986503789320691,0.9249999999999999,0.9462259820316086,0.9612010796221322
frozenset({'red spots over body'}),"frozenset({'loss of appetite', 'headache'})",0.0475609756097561,0.046341463414634146,0.045121951219512194,0.9487179487179487,20.472334682860996,1.0,0.04291790600832837,18.596341463414618,0.9986503789320691,0.9249999999999999,0.9462259820316086,0.9612010796221322
frozenset({'red spots over body'}),"frozenset({'loss of appetite', 'skin rash'})",0.0475609756097561,0.045121951219512194,0.04390243902439024,0.923076923076923,20.457380457380456,1.0,0.041756395002974414,12.413414634146331,0.9986128894579599,0.8999999999999999,0.9194419884075056,0.948024948024948
frozenset({'red spots over body'}),"frozenset({'malaise', 'loss of appetite', 'headache'})",0.0475609756097561,0.045121951219512194,0.04390243902439024,0.923076923076923,20.457380457380456,1.0,0.041756395002974414,12.413414634146331,0.9986128894579599,0.8999999999999999,0.9194419884075056,0.948024948024948
frozenset({'red spots over body'}),"frozenset({'malaise', 'skin rash'})",0.0475609756097561,0.045121951219512194,0.04390243902439024,0.923076923076923,20.457380457380456,1.0,0.041756395002974414,12.413414634146331,0.9986128894579599,0.8999999999999999,0.9194419884075056,0.948024948024948
"frozenset({'loss of appetite', 'skin rash'})",frozenset({'red spots over body'}),0.045121951219512194,0.0475609756097561,0.04390243902439024,0.9729729729729729,20.457380457380456,1.0,0.041756395002974414,35.24024390243895,0.996062154108131,0.8999999999999999,0.971623351905042,0.948024948024948
"frozenset({'skin rash', 'headache'})",frozenset({'red spots over body'}),0.045121951219512194,0.0475609756097561,0.04390243902439024,0.9729729729729729,20.457380457380456,1.0,0.041756395002974414,35.24024390243895,0.996062154108131,0.8999999999999999,0.971623351905042,0.948024948024948
"frozenset({'malaise', 'skin rash'})",frozenset({'red spots over body'}),0.045121951219512194,0.0475609756097561,0.04390243902439024,0.9729729729729729,20.457380457380456,1.0,0.041756395002974414,35.24024390243895,0.996062154108131,0.8999999999999999,0.971623351905042,0.948024948024948
